Food group,Food,Protein (g),Diet,Species,n,Model,Sample,Measure,Analyte,Value (%),SD,Analysis method,Collected From,Original Source,Notes
Grains and Grain Products,"Corn, Corn Products (Zea mays): Meal, granulated",,human,"Hoe cake with sirup, eaten in simple and mixed diets. (Simple diet, milk, sugar and/or butter; mixed diet, meat and canned peaches in addition.)",4-Feb,in vivo,fecal,apparent digestibility,crude protein,78.8,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","MERRILL, L. H. 1906. INDIAN CORN AS FOOD FOR MAN. DIGESTION EXPERIMENTS WITH CHESTNUTS. Maine Agr. Expt. Sta. Bui. 131: [133]-148.","Several experiments made with 2 subjects, most of them with 4. Experimental period, 6 days."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Meal, waxy variety of maize imported from China.",39,human,"Frozen pudding (raw cornmeal, milk, oil, sugar, salt, flavoring), oranges, sugar, tea or coffee if desired. Average daily intake: 39 gm. protein, 1,970 calories",1,in vivo,fecal,apparent digestibility,crude protein,79.3,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and MERRILL, A. T. 1924. DIGESTIBILITY OF RAW STARCHES AND CARBOHYDRATES. U.S. Dept. Agr. Bul. 1213, 16 pp.","Subjects, women. Experimental period, 3 days, 9 meals. Marker, carmine, with lampblack for following period of 3 or 4 days on regular diet."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Meal, waxy variety of maize imported from China.",39,human,"Frozen pudding (raw cornmeal, milk, oil, sugar, salt, flavoring), oranges, sugar, tea or coffee if desired. Average daily intake: 39 gm. protein, 1,970 calories",1,in vivo,fecal,apparent digestibility,crude protein,80.1,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and MERRILL, A. T. 1924. DIGESTIBILITY OF RAW STARCHES AND CARBOHYDRATES. U.S. Dept. Agr. Bul. 1213, 16 pp.","Subjects, women. Experimental period, 3 days, 9 meals. Marker, carmine, with lampblack for following period of 3 or 4 days on regular diet."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Meal, waxy variety of maize imported from China.",39,human,"Frozen pudding (raw cornmeal, milk, oil, sugar, salt, flavoring), oranges, sugar, tea or coffee if desired. Average daily intake: 39 gm. protein, 1,970 calories",1,in vivo,fecal,apparent digestibility,crude protein,69.4,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and MERRILL, A. T. 1924. DIGESTIBILITY OF RAW STARCHES AND CARBOHYDRATES. U.S. Dept. Agr. Bul. 1213, 16 pp.","Subjects, women. Experimental period, 3 days, 9 meals. Marker, carmine, with lampblack for following period of 3 or 4 days on regular diet."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Meal, white",34,human,"Frozen pudding (raw cornmeal, milk, oil, sugar, salt, flavoring), oranges, sugar, tea or coffee if desired. Average daily intake: 34 gm. protein, 1,750 calories",1,in vivo,fecal,apparent digestibility,crude protein,73.7,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and MERRILL, A. T. 1924. DIGESTIBILITY OF RAW STARCHES AND CARBOHYDRATES. U.S. Dept. Agr. Bul. 1213, 16 pp.","Subjects, women. Experimental period, 3 days, 9 meals. Marker, carmine, with lampblack for following period of 3 or 4 days on regular diet."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Meal, white",34,human,"Frozen pudding (raw cornmeal, milk, oil, sugar, salt, flavoring), oranges, sugar, tea or coffee if desired. Average daily intake: 34 gm. protein, 1,750 calories",1,in vivo,fecal,apparent digestibility,crude protein,76.4,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and MERRILL, A. T. 1924. DIGESTIBILITY OF RAW STARCHES AND CARBOHYDRATES. U.S. Dept. Agr. Bul. 1213, 16 pp.","Subjects, women. Experimental period, 3 days, 9 meals. Marker, carmine, with lampblack for following period of 3 or 4 days on regular diet."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Meal, white",34,human,"Frozen pudding (raw cornmeal, milk, oil, sugar, salt, flavoring), oranges, sugar, tea or coffee if desired. Average daily intake: 34 gm. protein, 1,750 calories",1,in vivo,fecal,apparent digestibility,crude protein,69.3,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and MERRILL, A. T. 1924. DIGESTIBILITY OF RAW STARCHES AND CARBOHYDRATES. U.S. Dept. Agr. Bul. 1213, 16 pp.","Subjects, women. Experimental period, 3 days, 9 meals. Marker, carmine, with lampblack for following period of 3 or 4 days on regular diet."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Meal, yellow",,human,"Polenta, a hasty pudding of cormmeal, water, and salt.",1,in vivo,fecal,apparent digestibility,crude protein,75.5,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","JACOANGELI, T., and BONANNI, A. 1897. L'ALIMENTAZIONE CON LE PASTE ALIMENTARI DI GRANTURCO E MISTE. Bol. di Not. Agr. 19 (Secondo Semes.): 434-448.","Subject, 45-yr.-old farmer. Experimental period, 3 days, 2 meals per day."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Meal, yellow",,human,"Polenta, a hasty pudding of cormmeal, water, and salt.",1,in vivo,fecal,apparent digestibility,crude protein,74.1,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","JACOANGELI, T., and BONANNI, A. 1897. L'ALIMENTAZIONE CON LE PASTE ALIMENTARI DI GRANTURCO E MISTE. Bol. di Not. Agr. 19 (Secondo Semes.): 434-448.","Subject, 45-yr.-old farmer. Experimental period, 3 days, 2 meals per day."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Meal, yellow",,human,"Polenta, a hasty pudding of cormmeal, water, and salt.",1,in vivo,fecal,apparent digestibility,crude protein,76.9,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","JACOANGELI, T., and BONANNI, A. 1897. L'ALIMENTAZIONE CON LE PASTE ALIMENTARI DI GRANTURCO E MISTE. Bol. di Not. Agr. 19 (Secondo Semes.): 434-448.","Subject, 45-yr.-old farmer. Experimental period, 3 days, 2 meals per day."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Starch",22,human,"Frozen pudding (raw cornstarch, milk, oil, sugar, salt, flavoring), oranges, sugar, tea or coffee if desired. Average daily intake: 22 gm. protein, 1,920 calories.",1,in vivo,fecal,apparent digestibility,crude protein,,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and MERRILL, A. T. 1924. DIGESTIBILITY OF RAW STARCHES AND CARBOHYDRATES. U.S. Dept. Agr. Bul. 1213, 16 pp.","Subjects, women. Experimental period, 3 days, 9 meals. Marker, carmine, with lampblack for following period of 3 or 4 days on regular diet."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Starch",22,human,"Frozen pudding (raw cornstarch, milk, oil, sugar, salt, flavoring), oranges, sugar, tea or coffee if desired. Average daily intake: 22 gm. protein, 1,920 calories.",1,in vivo,fecal,apparent digestibility,crude protein,,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and MERRILL, A. T. 1924. DIGESTIBILITY OF RAW STARCHES AND CARBOHYDRATES. U.S. Dept. Agr. Bul. 1213, 16 pp.","Subjects, women. Experimental period, 3 days, 9 meals. Marker, carmine, with lampblack for following period of 3 or 4 days on regular diet."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Starch",22,human,"Frozen pudding (raw cornstarch, milk, oil, sugar, salt, flavoring), oranges, sugar, tea or coffee if desired. Average daily intake: 22 gm. protein, 1,920 calories.",1,in vivo,fecal,apparent digestibility,crude protein,,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and MERRILL, A. T. 1924. DIGESTIBILITY OF RAW STARCHES AND CARBOHYDRATES. U.S. Dept. Agr. Bul. 1213, 16 pp.","Subjects, women. Experimental period, 3 days, 9 meals. Marker, carmine, with lampblack for following period of 3 or 4 days on regular diet."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Starch",22,human,"Frozen pudding (raw cornstarch, milk, oil, sugar, salt, flavoring), oranges, sugar, tea or coffee if desired. Average daily intake: 22 gm. protein, 1,920 calories.",1,in vivo,fecal,apparent digestibility,crude protein,,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and MERRILL, A. T. 1924. DIGESTIBILITY OF RAW STARCHES AND CARBOHYDRATES. U.S. Dept. Agr. Bul. 1213, 16 pp.","Subjects, women. Experimental period, 3 days, 9 meals. Marker, carmine, with lampblack for following period of 3 or 4 days on regular diet."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Starch",31,human,"Frozen pudding (raw cornstarch, milk, oil, sugar, salt, flavoring), oranges, sugar, tea or coffee if desired. Average daily intake: 31 gm. protein, 2,760 calories.",1,in vivo,fecal,apparent digestibility,crude protein,,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and DEUEL, H. J., JR. 1920. DIGESTIBILITY OF RAW CORN, POTATO, AND WHEAT STARCHES. Jour. Biol. Chem. 42: 27-40.","Subjects, men students. Experimental period, 3 days. Authors' usual laboratory procedure followed."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Starch",31,human,"Frozen pudding (raw cornstarch, milk, oil, sugar, salt, flavoring), oranges, sugar, tea or coffee if desired. Average daily intake: 31 gm. protein, 2,760 calories.",1,in vivo,fecal,apparent digestibility,crude protein,,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and DEUEL, H. J., JR. 1920. DIGESTIBILITY OF RAW CORN, POTATO, AND WHEAT STARCHES. Jour. Biol. Chem. 42: 27-40.","Subjects, men students. Experimental period, 3 days. Authors' usual laboratory procedure followed."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Starch",31,human,"Frozen pudding (raw cornstarch, milk, oil, sugar, salt, flavoring), oranges, sugar, tea or coffee if desired. Average daily intake: 31 gm. protein, 2,760 calories.",1,in vivo,fecal,apparent digestibility,crude protein,,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and DEUEL, H. J., JR. 1920. DIGESTIBILITY OF RAW CORN, POTATO, AND WHEAT STARCHES. Jour. Biol. Chem. 42: 27-40.","Subjects, men students. Experimental period, 3 days. Authors' usual laboratory procedure followed."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Ready-to-eat breakfast food: Corn endosperm, toasted, added sugar, salt.",,human,"Toasted corn endosperm, sugar, cream, and coffee.",1,in vivo,fecal,apparent digestibility,crude protein,,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","MURLIN, J. R., LINE, W. R., PIPER, H. A., and PIERCE, H.B. 1929. THE NUTRITIVE VALUE OF CEREAL BREAKFAST FOODS. I. COMPOSITION AND HEAT VALUE. Jour. Nutr. 2: 83-90.","Details of experiment not given. Authors reported ""coefficient of utilization"" of protein, 84 percent; not included in this table since not clear if value is true or apparent digestibility."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Ready-to-eat breakfast food: Corn flakes",,human,Corn flakes. Sucrose added.,1,in vivo,fecal,apparent digestibility,crude protein,65.4,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","KUETHER, C. A., and MYERS, V. C. 1948. THE NUTRITIVE VALUE OF CEREAL PROTEINS IN HUMAN SUBJECTS. Jour. Nutr. 35: 651-667.","Subjects, 3 men. Collection period, 9 days, began on 3d day. Marker, charcoal or barium sulfate at beginning and end of collection period. N-balance average, - 1.7 gm. for corn flakes period."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Ready-to-eat breakfast food: Corn flakes",,human,Corn flakes. Butter added.,1,in vivo,fecal,apparent digestibility,crude protein,67.9,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","KUETHER, C. A., and MYERS, V. C. 1948. THE NUTRITIVE VALUE OF CEREAL PROTEINS IN HUMAN SUBJECTS. Jour. Nutr. 35: 651-667.","Subjects, 3 men. Collection period, 9 days, began on 3d day. Marker, charcoal or barium sulfate at beginning and end of collection period. N-balance average, - 1.7 gm. for corn flakes period."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Ready-to-eat breakfast food: Corn flakes",,human,Corn flakes. Sucrose added.,1,in vivo,fecal,apparent digestibility,crude protein,67,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","KUETHER, C. A., and MYERS, V. C. 1948. THE NUTRITIVE VALUE OF CEREAL PROTEINS IN HUMAN SUBJECTS. Jour. Nutr. 35: 651-667.","Subjects, 3 men. Collection period, 9 days, began on 3d day. Marker, charcoal or barium sulfate at beginning and end of collection period. N-balance average, - 1.7 gm. for corn flakes period."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Ready-to-eat breakfast food: Oven-expanded corn cereal",,human,Corn cereal. Sucrose added.,1,in vivo,fecal,apparent digestibility,crude protein,66.2,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","KUETHER, C. A., and MYERS, V. C. 1948. THE NUTRITIVE VALUE OF CEREAL PROTEINS IN HUMAN SUBJECTS. Jour. Nutr. 35: 651-667.","Subjects, 3 men. Collection period, 9 days, began on 3d day. Marker, charcoal or barium sulfate at beginning and end of collection period. N-balance average, - 1.6 gm. for oven expanded corn cereal period."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Ready-to-eat breakfast food: Oven-expanded corn cereal",,human,Corn cereal. Butter added.,1,in vivo,fecal,apparent digestibility,crude protein,70.2,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","KUETHER, C. A., and MYERS, V. C. 1948. THE NUTRITIVE VALUE OF CEREAL PROTEINS IN HUMAN SUBJECTS. Jour. Nutr. 35: 651-667.","Subjects, 3 men. Collection period, 9 days, began on 3d day. Marker, charcoal or barium sulfate at beginning and end of collection period. N-balance average, - 1.6 gm. for oven expanded corn cereal period."
Grains and Grain Products,"Corn, Corn Products (Zea mays): Ready-to-eat breakfast food: Oven-expanded corn cereal",,human,Corn cereal. Butter added.,1,in vivo,fecal,apparent digestibility,crude protein,66.5,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","KUETHER, C. A., and MYERS, V. C. 1948. THE NUTRITIVE VALUE OF CEREAL PROTEINS IN HUMAN SUBJECTS. Jour. Nutr. 35: 651-667.","Subjects, 3 men. Collection period, 9 days, began on 3d day. Marker, charcoal or barium sulfate at beginning and end of collection period. N-balance average, - 1.6 gm. for oven expanded corn cereal period."
Grains and Grain Products,"Millet: Meal (Panicum miliaceum), proso, 29 percent of the millet (chiefly bran) removed by sifting through a 16-mesh sieve.",45,human,"Millet bread (recipe: 15 c. millet meal, 1? c. molasses, 1 c. lard, 2 qt. water, 3� tsp. salt, 3� tsp. soda, 5 tsp. ginger), potato, orange, tea or coffee as desired. Daily intake: 45 gm. protein, 2,140 to 3,080 gross calories.",1,in vivo,fecal,apparent digestibility,crude protein,34.2,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and HOLMES, A. D. 1917. EXPERIMENTS IN THE DETERMINATION OF THE DIGESTIBILITY OF MILLETS. U. S. Dept. Agr. Bui. 525, 11 pp.","Subjects, young men (medical and dental students). Experimental period, 3 days. Marker, charcoal, taken with 1st meal of experimental period and with 1st meal following."
Grains and Grain Products,"Millet: Meal (Panicum miliaceum), proso, 29 percent of the millet (chiefly bran) removed by sifting through a 16-mesh sieve.",45,human,"Millet bread (recipe: 15 c. millet meal, 1? c. molasses, 1 c. lard, 2 qt. water, 3� tsp. salt, 3� tsp. soda, 5 tsp. ginger), potato, orange, tea or coffee as desired. Daily intake: 45 gm. protein, 2,140 to 3,080 gross calories.",1,in vivo,fecal,apparent digestibility,crude protein,32,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and HOLMES, A. D. 1917. EXPERIMENTS IN THE DETERMINATION OF THE DIGESTIBILITY OF MILLETS. U. S. Dept. Agr. Bui. 525, 11 pp.","Subjects, young men (medical and dental students). Experimental period, 3 days. Marker, charcoal, taken with 1st meal of experimental period and with 1st meal following."
Grains and Grain Products,"Millet: Meal (Panicum miliaceum), proso, 29 percent of the millet (chiefly bran) removed by sifting through a 16-mesh sieve.",45,human,"Millet bread (recipe: 15 c. millet meal, 1? c. molasses, 1 c. lard, 2 qt. water, 3� tsp. salt, 3� tsp. soda, 5 tsp. ginger), potato, orange, tea or coffee as desired. Daily intake: 45 gm. protein, 2,140 to 3,080 gross calories.",1,in vivo,fecal,apparent digestibility,crude protein,39,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and HOLMES, A. D. 1917. EXPERIMENTS IN THE DETERMINATION OF THE DIGESTIBILITY OF MILLETS. U. S. Dept. Agr. Bui. 525, 11 pp.","Subjects, young men (medical and dental students). Experimental period, 3 days. Marker, charcoal, taken with 1st meal of experimental period and with 1st meal following."
Grains and Grain Products,"Millet: Meal (Panicum miliaceum), proso, 29 percent of the millet (chiefly bran) removed by sifting through a 16-mesh sieve.",45,human,"Millet bread (recipe: 15 c. millet meal, 1? c. molasses, 1 c. lard, 2 qt. water, 3� tsp. salt, 3� tsp. soda, 5 tsp. ginger), potato, orange, tea or coffee as desired. Daily intake: 45 gm. protein, 2,140 to 3,080 gross calories.",1,in vivo,fecal,apparent digestibility,crude protein,64.9,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and HOLMES, A. D. 1917. EXPERIMENTS IN THE DETERMINATION OF THE DIGESTIBILITY OF MILLETS. U. S. Dept. Agr. Bui. 525, 11 pp.","Subjects, young men (medical and dental students). Experimental period, 3 days. Marker, charcoal, taken with 1st meal of experimental period and with 1st meal following."
Grains and Grain Products,"Millet: Meal (Setaria italica), common millet. 40 percent of the millet (chiefly bran) removed by sifting through a 16-mesh sieve.",49,human,"Millet bread (recipe: 15 c. millet meal, 1? c. molasses, 1 c. lard, 2 qt. water, 3� tsp. salt, 3� tsp. soda, 5 tsp. ginger), potato, orange, tea or coffee as desired. Daily intake: 49 gm. protein, 2,140 to 3,080 gross calories.",1,in vivo,fecal,apparent digestibility,crude protein,23.8,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and HOLMES, A. D. 1917. EXPERIMENTS IN THE DETERMINATION OF THE DIGESTIBILITY OF MILLETS. U. S. Dept. Agr. Bui. 525, 11 pp.","Subjects, young men (medical and dental students). Experimental period, 3 days. Marker, charcoal, taken with 1st meal of experimental period and with 1st meal following."
Grains and Grain Products,"Millet: Meal (Setaria italica), common millet. 40 percent of the millet (chiefly bran) removed by sifting through a 16-mesh sieve.",49,human,"Millet bread (recipe: 15 c. millet meal, 1? c. molasses, 1 c. lard, 2 qt. water, 3� tsp. salt, 3� tsp. soda, 5 tsp. ginger), potato, orange, tea or coffee as desired. Daily intake: 49 gm. protein, 2,140 to 3,080 gross calories.",1,in vivo,fecal,apparent digestibility,crude protein,31.3,,,"Merrill AL, Watt BK. ENERGY VALUE OF FOODS... basis and derivation (Agriculture Handbook No. 74) [Internet]. Washington DC: United States Department of Agriculture, Agricultural Research Service, Human Nutrition Research Branch; 1955 [cited Febuary 28 2024]. Available from: https://www.ars.usda.gov/arsuserfiles/80400535/data/classics/usda%20handbook%2074.pdf","LANGWORTHY, C. F. and HOLMES, A. D. 1917. EXPERIMENTS IN THE DETERMINATION OF THE DIGESTIBILITY OF MILLETS. U. S. Dept. Agr. Bui. 525, 11 pp.","Subjects, young men (medical and dental students). Experimental period, 3 days. Marker, charcoal, taken with 1st meal of experimental period and with 1st meal following."
