Pattern Name,Analyte,Amount,Unit,Age,Age interval (years),Notes,Reference
EAR for Lactation,threonine,24,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Lactation,tryptophan,7,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
EAR for Lactation,valine,28,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Lactation,histidine,19,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Lactation,isoleucine,30,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Lactation,leucine,62,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Lactation,lysine,52,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Lactation,methionine+cysteine,26,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Lactation,phenylalanine+tyrosine,51,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Lactation,threonine,30,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Lactation,tryptophan,9,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
RDA for Lactation,valine,35,mg/kg/d,all ages,"[0, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,histidine,23,mg/g protein,Infants,"[0,1]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,isoleucine,57,mg/g protein,Infants,"[0,1]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,leucine,101,mg/g protein,Infants,"[0,1]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,lysine,69,mg/g protein,Infants,"[0,1]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,methionine+cysteine,38,mg/g protein,Infants,"[0,1]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,phenylalanine+tyrosine,87,mg/g protein,Infants,"[0,1]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,threonine,47,mg/g protein,Infants,"[0,1]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,tryptophan,18,mg/g protein,Infants,"[0,1]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,valine,56,mg/g protein,Infants,"[0,1]",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,histidine,18,mg/g protein,Preschool Children (1-3y),"[1, 18)",No scoring pattern provided for children ages 3-19 years. Text above table 10-24 recommends using pattern for ages 1-3 years for all children.,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,isoleucine,25,mg/g protein,Preschool Children (1-3y),"[1, 18)",No scoring pattern provided for children ages 3-19 years. Text above table 10-24 recommends using pattern for ages 1-3 years for all children.,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,leucine,55,mg/g protein,Preschool Children (1-3y),"[1, 18)",No scoring pattern provided for children ages 3-19 years. Text above table 10-24 recommends using pattern for ages 1-3 years for all children.,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,lysine,51,mg/g protein,Preschool Children (1-3y),"[1, 18)",No scoring pattern provided for children ages 3-19 years. Text above table 10-24 recommends using pattern for ages 1-3 years for all children.,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,methionine+cysteine,25,mg/g protein,Preschool Children (1-3y),"[1, 18)",No scoring pattern provided for children ages 3-19 years. Text above table 10-24 recommends using pattern for ages 1-3 years for all children.,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,phenylalanine+tyrosine,47,mg/g protein,Preschool Children (1-3y),"[1, 18)",No scoring pattern provided for children ages 3-19 years. Text above table 10-24 recommends using pattern for ages 1-3 years for all children.,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,threonine,27,mg/g protein,Preschool Children (1-3y),"[1, 18)",No scoring pattern provided for children ages 3-19 years. Text above table 10-24 recommends using pattern for ages 1-3 years for all children.,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,tryptophan,7,mg/g protein,Preschool Children (1-3y),"[1, 18)",No scoring pattern provided for children ages 3-19 years. Text above table 10-24 recommends using pattern for ages 1-3 years for all children.,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,valine,32,mg/g protein,Preschool Children (1-3y),"[1, 18)",No scoring pattern provided for children ages 3-19 years. Text above table 10-24 recommends using pattern for ages 1-3 years for all children.,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,histidine,17,mg/g protein,Adults (18+ y),"[18, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,isoleucine,23,mg/g protein,Adults (18+ y),"[18, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,leucine,52,mg/g protein,Adults (18+ y),"[18, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,lysine,47,mg/g protein,Adults (18+ y),"[18, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,methionine+cysteine,23,mg/g protein,Adults (18+ y),"[18, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,phenylalanine+tyrosine,41,mg/g protein,Adults (18+ y),"[18, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,threonine,24,mg/g protein,Adults (18+ y),"[18, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,tryptophan,6,mg/g protein,Adults (18+ y),"[18, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FNB/IOM Pattern,valine,29,mg/g protein,Adults (18+ y),"[18, inf)",,"""10 Protein and Amino Acids."" Institute of Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. doi: 10.17226/10490.
National Academies of Sciences, Engineering, and Medicine. 2005. Dietary Reference Intakes for Energy, Carbohydrate, Fiber, Fat, Fatty Acids, Cholesterol, Protein, and Amino Acids. Washington, DC: The National Academies Press. https://doi.org/10.17226/10490."
FAO Scoring Pattern,histidine,20,mg/g protein,6 months,"(0,1)",,"Dietary protein quality evaluation in human nutrition: Report of an FAO Expert Consultation (31 March–2 April, 2011; Auckland, New Zealand) In: FAO Food and Nutrition Paper No. 92 [Book]. Rome, Italy: FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS; 2013 [accessed 2023 May 3]. Available from: https://www.fao.org/ag/humannutrition/35978-02317b979a686a57aa4593304ffc17f06.pdf ISBN: 978-92-5-107417-6. ISSN: 0254-4725. PMID: 26369006"
FAO Scoring Pattern,isoleucine,32,mg/g protein,6 months,"(0,1)",,"Dietary protein quality evaluation in human nutrition: Report of an FAO Expert Consultation (31 March–2 April, 2011; Auckland, New Zealand) In: FAO Food and Nutrition Paper No. 92 [Book]. Rome, Italy: FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS; 2013 [accessed 2023 May 3]. Available from: https://www.fao.org/ag/humannutrition/35978-02317b979a686a57aa4593304ffc17f06.pdf ISBN: 978-92-5-107417-6. ISSN: 0254-4725. PMID: 26369006"
FAO Scoring Pattern,leucine,66,mg/g protein,6 months,"(0,1)",,"Dietary protein quality evaluation in human nutrition: Report of an FAO Expert Consultation (31 March–2 April, 2011; Auckland, New Zealand) In: FAO Food and Nutrition Paper No. 92 [Book]. Rome, Italy: FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS; 2013 [accessed 2023 May 3]. Available from: https://www.fao.org/ag/humannutrition/35978-02317b979a686a57aa4593304ffc17f06.pdf ISBN: 978-92-5-107417-6. ISSN: 0254-4725. PMID: 26369006"
FAO Scoring Pattern,lysine,57,mg/g protein,6 months,"(0,1)",,"Dietary protein quality evaluation in human nutrition: Report of an FAO Expert Consultation (31 March–2 April, 2011; Auckland, New Zealand) In: FAO Food and Nutrition Paper No. 92 [Book]. Rome, Italy: FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS; 2013 [accessed 2023 May 3]. Available from: https://www.fao.org/ag/humannutrition/35978-02317b979a686a57aa4593304ffc17f06.pdf ISBN: 978-92-5-107417-6. ISSN: 0254-4725. PMID: 26369006"
FAO Scoring Pattern,methionine+cysteine,27,mg/g protein,6 months,"(0,1)",,"Dietary protein quality evaluation in human nutrition: Report of an FAO Expert Consultation (31 March–2 April, 2011; Auckland, New Zealand) In: FAO Food and Nutrition Paper No. 92 [Book]. Rome, Italy: FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS; 2013 [accessed 2023 May 3]. Available from: https://www.fao.org/ag/humannutrition/35978-02317b979a686a57aa4593304ffc17f06.pdf ISBN: 978-92-5-107417-6. ISSN: 0254-4725. PMID: 26369006"
FAO Scoring Pattern,phenylalanine+tyrosine,52,mg/g protein,6 months,"(0,1)",,"Dietary protein quality evaluation in human nutrition: Report of an FAO Expert Consultation (31 March–2 April, 2011; Auckland, New Zealand) In: FAO Food and Nutrition Paper No. 92 [Book]. Rome, Italy: FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS; 2013 [accessed 2023 May 3]. Available from: https://www.fao.org/ag/humannutrition/35978-02317b979a686a57aa4593304ffc17f06.pdf ISBN: 978-92-5-107417-6. ISSN: 0254-4725. PMID: 26369006"
FAO Scoring Pattern,threonine,31,mg/g protein,6 months,"(0,1)",,"Dietary protein quality evaluation in human nutrition: Report of an FAO Expert Consultation (31 March–2 April, 2011; Auckland, New Zealand) In: FAO Food and Nutrition Paper No. 92 [Book]. Rome, Italy: FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS; 2013 [accessed 2023 May 3]. Available from: https://www.fao.org/ag/humannutrition/35978-02317b979a686a57aa4593304ffc17f06.pdf ISBN: 978-92-5-107417-6. ISSN: 0254-4725. PMID: 26369006"
FAO Scoring Pattern,tryptophan,8.5,mg/g protein,6 months,"(0,1)",,"Dietary protein quality evaluation in human nutrition: Report of an FAO Expert Consultation (31 March–2 April, 2011; Auckland, New Zealand) In: FAO Food and Nutrition Paper No. 92 [Book]. Rome, Italy: FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS; 2013 [accessed 2023 May 3]. Available from: https://www.fao.org/ag/humannutrition/35978-02317b979a686a57aa4593304ffc17f06.pdf ISBN: 978-92-5-107417-6. ISSN: 0254-4725. PMID: 26369006"
FAO Scoring Pattern,valine,43,mg/g protein,6 months,"(0,1)",,"Dietary protein quality evaluation in human nutrition: Report of an FAO Expert Consultation (31 March–2 April, 2011; Auckland, New Zealand) In: FAO Food and Nutrition Paper No. 92 [Book]. Rome, Italy: FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS; 2013 [accessed 2023 May 3]. Available from: https://www.fao.org/ag/humannutrition/35978-02317b979a686a57aa4593304ffc17f06.pdf ISBN: 978-92-5-107417-6. ISSN: 0254-4725. PMID: 26369006"
FAO Scoring Pattern,histidine,18,mg/g protein,1-2 years,"[1,2]",,"Dietary protein quality evaluation in human nutrition: Report of an FAO Expert Consultation (31 March–2 April, 2011; Auckland, New Zealand) In: FAO Food and Nutrition Paper No. 92 [Book]. Rome, Italy: FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS; 2013 [accessed 2023 May 3]. Available from: https://www.fao.org/ag/humannutrition/35978-02317b979a686a57aa4593304ffc17f06.pdf ISBN: 978-92-5-107417-6. ISSN: 0254-4725. PMID: 26369006"
